system_id,rmse,r2,poa_irradiance_calculated,power_ratio,dcp/area,relative_azimuth,time_since_sunrise,annual_cosinus,dhi/ghi,gamma*temp_diff,clear_sky_ratio,wind_normal_component,cos_aoi,poa*cos_aoi
2,406.14356014077947,0.7790649560853539,0.5774401426315308,0.13612380623817444,0.07471002638339996,0.047898828983306885,0.0332699790596962,0.030597038567066193,0.02812790870666504,0.02282796986401081,0.016493363305926323,0.011135040782392025,0.011060471646487713,0.010315404273569584
3,304.46567509843993,0.8508723712549418,0.46107572317123413,0.09067555516958237,0.16100479662418365,0.035461846739053726,0.17450015246868134,0.015013309195637703,0.014396467246115208,0.01342750247567892,0.012645545415580273,0.007315231952816248,0.007722887210547924,0.006760890129953623
4,155.8136262268922,0.7754790762260646,0.6103371977806091,0.0954446792602539,0.02092304825782776,0.03909619152545929,0.10935577750205994,0.021288523450493813,0.02039109356701374,0.022009680047631264,0.02059006504714489,0.014766576699912548,0.013189964927732944,0.012607188895344734
10,182.07401807788045,0.7866959127418907,0.24791556596755981,0.3028534948825836,0.30687347054481506,0.028976399451494217,0.01833515428006649,0.016285419464111328,0.015238688327372074,0.015747303143143654,0.015516398474574089,0.011266779154539108,0.010617672465741634,0.010373609140515327
33,363.4574461666089,0.7706799446510959,0.5703750848770142,0.0767831802368164,0.2208329141139984,0.031232444569468498,0.012719460763037205,0.014638183638453484,0.013989982195198536,0.017859825864434242,0.014137671329081059,0.009898880496621132,0.008898723870515823,0.008633705787360668
34,141.32499271883594,0.8575233126257653,0.6576047539710999,0.09517166018486023,0.017420198768377304,0.05965453013777733,0.0786655843257904,0.018911197781562805,0.014467856846749783,0.014112330973148346,0.01419495977461338,0.008639550767838955,0.009789877571165562,0.011367470026016235
1229,321.9304595798199,0.8276469532739295,0.4833316206932068,0.1354151964187622,0.03995381295681,0.038750287145376205,0.12266211956739426,0.023030532523989677,0.08369247615337372,0.01577424444258213,0.02127167023718357,0.012709371745586395,0.01158894319087267,0.011819688603281975
1276,96.46926353785416,0.8894224790348444,0.2603985667228699,0.09704400599002838,0.06927316635847092,0.06592220813035965,0.36844372749328613,0.04589882865548134,0.01042390987277031,0.011907342821359634,0.03208001330494881,0.009743889793753624,0.01470741257071495,0.014156860299408436
1277,125.75099968261368,0.805861500081313,0.21377946436405182,0.10110504925251007,0.08733834326267242,0.05777660757303238,0.31193655729293823,0.10531498491764069,0.014196082949638367,0.010943014174699783,0.047308579087257385,0.013567198067903519,0.016613785177469254,0.020120376721024513
1284,228.0368410069865,0.7522355537075694,0.6854881644248962,0.1092354878783226,0.019948385655879974,0.037941038608551025,0.01895737275481224,0.018926097080111504,0.020201120525598526,0.02158678136765957,0.0217887032777071,0.015743138268589973,0.014184651896357536,0.015999101102352142
1289,276.2692803287833,0.7791414685942125,0.720105767250061,0.07732005417346954,0.06281743198633194,0.0363430455327034,0.019000569358468056,0.013002673164010048,0.015776177868247032,0.012714730575680733,0.015047161839902401,0.00957917794585228,0.009155516512691975,0.009137790650129318
